Infringement Id,Status
283978,Unmanaged
290846,Due
134984,Unmanaged
134769,Unmanaged
136167,Unmanaged
136142,Unmanaged
134763,Unmanaged
134772,Unmanaged
136135,Unmanaged
134767,Unmanaged
134768,Unmanaged
283979,Unmanaged
100560,Paid
136132,Paid
136153,Paid
293541,Paid
135033,Unmanaged
136147,Unmanaged
136157,Unmanaged
355089,Unmanaged
134976,Unmanaged
136160,Paid
135000,Closed
134765,Unmanaged
136159,Unmanaged
136149,Unmanaged
283980,Unmanaged
134761,Unmanaged
134980,Unmanaged
293463,Paid
134965,Unmanaged
136144,Unmanaged
136143,Unmanaged
290812,Paid
290496,Paid
136145,Paid
290644,Paid
136154,Paid
134985,Unmanaged
134979,Unmanaged
134762,Unmanaged
136151,Unmanaged
136109,Unmanaged
136156,Unmanaged
136129,Paid
290808,Paid
290841,Paid
136130,Unmanaged
136152,Paid
136148,Unmanaged
136150,Paid
136122,Unmanaged
136141,Unmanaged
136146,Paid
134758,Unmanaged
290494,Paid
134973,Unmanaged
134760,Unmanaged
134993,Unmanaged
134992,Unmanaged
136110,Unmanaged
136106,Closed
136077,Closed
136131,Paid
136101,Paid
355226,Unmanaged
355239,Unmanaged
134962,Unmanaged
136139,Closed
136137,Paid
136140,Closed
136121,Closed
136138,Paid
136079,Closed
134759,Closed
96401,Paid
134990,Unmanaged
246412,Paid
136091,Closed
134971,Unmanaged
134754,Closed
246413,Paid
136123,Unmanaged
136136,Paid
246414,Paid
283879,Unmanaged
326372,Outstanding
283881,Unmanaged
293519,Paid
283880,Unmanaged
134957,Unmanaged
283981,Unmanaged
136133,Unmanaged
134756,Unmanaged
290739,Paid
96779,Paid
134755,Unmanaged
136070,Unmanaged
136127,Paid
246410,Paid
283864,Unmanaged
136076,Unmanaged
293476,Paid
260511,Paid
95760,Paid
246411,Paid
355322,Unmanaged
136128,Unmanaged
136099,Unmanaged
136088,Paid
134753,Paid
134745,Unmanaged
136113,Unmanaged
231106,Unmanaged
136124,Unmanaged
136059,Unmanaged
283870,Unmanaged
293411,Paid
136126,Paid
136120,Paid
231109,Unmanaged
134987,Unmanaged
136108,Unmanaged
245520,Paid
358054,Paid
293390,Paid
354897,Unmanaged
136119,Unmanaged
136118,Unmanaged
136117,Paid
136116,Paid
136104,Paid
136115,Unmanaged
134757,Unmanaged
136111,Unmanaged
134613,Unmanaged
283871,Unmanaged
136084,Paid
134951,Unmanaged
136054,Closed
355205,Unmanaged
290814,Paid
175746,Paid
136114,Paid
136105,Unmanaged
96298,Paid
96296,Paid
134950,Unmanaged
136100,Unmanaged
136112,Unmanaged
136103,Unmanaged
134744,Unmanaged
136107,Unmanaged
136056,Unmanaged
134733,Unmanaged
290645,Paid
355260,Unmanaged
136080,Closed
136094,Paid
134982,Unmanaged
96297,Paid
134752,Unmanaged
136102,Unmanaged
134751,Unmanaged
134750,Unmanaged
134739,Unmanaged
134736,Unmanaged
134735,Unmanaged
283865,Unmanaged
136086,Paid
134981,Unmanaged
134612,Unmanaged
136098,Unmanaged
136092,Paid
136068,Unmanaged
231115,Unmanaged
136095,Closed
421670,Paid
136096,Paid
136097,Unmanaged
136085,Paid
134978,Unmanaged
136053,Paid
136090,Paid
283893,Unmanaged
92856,Paid
136093,Unmanaged
165340,Paid
136087,Unmanaged
136089,Paid
134615,Unmanaged
259873,Due
134977,Paid
136071,Unmanaged
136081,Unmanaged
136049,Paid
136078,Unmanaged
348824,Unmanaged
352759,Unmanaged
165316,Paid
290809,Paid
290662,Paid
310400,Paid
136082,Unmanaged
136083,Unmanaged
134954,Unmanaged
134945,Unmanaged
136074,Paid
136046,Unmanaged
136062,Unmanaged
259893,Due
136075,Unmanaged
136061,Paid
128687,Paid
134941,Unmanaged
259862,Outstanding
259860,Paid
136064,Unmanaged
136063,Paid
136069,Paid
136072,Unmanaged
136073,Paid
136050,Unmanaged
246408,Paid
136067,Unmanaged
136034,Unmanaged
290843,Paid
290810,Paid
245521,Paid
136066,Unmanaged
136065,Unmanaged
136039,Paid
246409,Paid
134969,Paid
232235,Unmanaged
96415,Unmanaged
290659,Paid
355044,Unmanaged
136058,Paid
134737,Unmanaged
136060,Paid
136037,Paid
136057,Unmanaged
134738,Unmanaged
134968,Unmanaged
290655,Paid
136055,Closed
136963,Paid
136027,Unmanaged
301831,Paid
136047,Unmanaged
134967,Unmanaged
259884,Paid
91355,Paid
136043,Paid
134940,Unmanaged
355288,Unmanaged
290660,Paid
290728,Paid
355289,Unmanaged
136052,Unmanaged
134727,Unmanaged
134724,Unmanaged
240645,Paid
283982,Unmanaged
136048,Unmanaged
134732,Unmanaged
290845,Paid
136051,Unmanaged
134966,Unmanaged
134731,Unmanaged
136045,Paid
136040,Paid
356244,Unmanaged
380978,Paid
136044,Unmanaged
246407,Paid
259885,Due
290844,Paid
136042,Paid
134964,Unmanaged
136038,Paid
285015,Unmanaged
134963,Paid
136031,Unmanaged
135032,Unmanaged
134939,Paid
136041,Paid
246405,Paid
134961,Unmanaged
136021,Unmanaged
290842,Paid
134943,Paid
136024,Unmanaged
136014,Paid
136013,Unmanaged
134960,Paid
